Date,Stock,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),sma_short,sma_long,signal,buy_sell_qty,buy_sell_qty_value,positions_carry_qty,position_carry_val,stock_value,cash,position_total,portfolio_returns,mkt_returns
2005-01-10,TCS,1348.65,1359.4,1322.0,1325.0,1327.45,940196.0,12633.5,1290.4300000000003,1181.1331249999994,0.0,0.0,0.0,1.0,1048.4,1327.45,-48.40000000000009,1279.05,-0.9678293523285975,-0.9328706295011036
2005-01-11,TCS,1330.0,1335.3,1301.0,1312.85,1313.75,998297.0,13210.05,1294.4600000000003,1184.9493749999995,0.0,0.0,0.0,1.0,1048.4,1313.75,-48.40000000000009,1265.35,-1.0711074625698758,-1.0320539380014315
2005-01-12,TCS,1325.95,1367.95,1286.7,1298.0,1298.05,2590004.0,34402.22,1297.0875,1188.3687499999994,0.0,0.0,0.0,1.0,1048.4,1298.05,-48.40000000000009,1249.6499999999999,-1.2407634251392907,-1.1950523311132333
2005-01-13,TCS,1310.0,1338.7,1275.0,1293.1,1292.9,3469744.0,45303.21,1298.6000000000001,1191.7437499999994,0.0,0.0,0.0,1.0,1048.4,1292.9,-48.40000000000009,1244.5,-0.41211539230983085,-0.39674896960825157
2005-01-14,TCS,1304.7,1317.9,1277.0,1299.15,1296.4,1969722.0,25579.29,1300.5950000000003,1194.8762499999993,0.0,0.0,0.0,1.0,1048.4,1296.4,-48.40000000000009,1248.0,0.28123744475692103,0.2707092582566295
2005-01-17,TCS,1309.6,1309.6,1240.2,1267.05,1263.25,1706398.0,21500.23,1300.6300000000003,1197.5162499999992,0.0,0.0,0.0,1.0,1048.4,1263.25,-48.40000000000009,1214.85,-2.6562500000000044,-2.5570811477938937
2005-01-18,TCS,1274.7,1284.0,1257.5,1260.0,1263.85,772908.0,9816.76,1300.1875000000002,1200.4362499999993,0.0,0.0,0.0,1.0,1048.4,1263.85,-48.40000000000009,1215.4499999999998,0.049388813433748346,0.04749653671085596
2005-01-19,TCS,1266.0,1273.7,1251.1,1255.0,1255.4,442311.0,5590.42,1300.9500000000003,1203.2687499999993,0.0,0.0,0.0,1.0,1048.4,1255.4,-48.40000000000009,1207.0,-0.6952157637089007,-0.6685920006329726
2005-01-20,TCS,1255.0,1255.0,1230.0,1239.05,1243.7,567025.0,7032.59,1301.7425000000003,1206.0556249999993,0.0,0.0,0.0,1.0,1048.4,1243.7,-48.40000000000009,1195.3,-0.9693454846727456,-0.9319738728692073
2005-01-24,TCS,1243.7,1247.35,1215.35,1218.0,1220.65,453524.0,5568.48,1299.3775000000003,1208.619374999999,0.0,0.0,0.0,1.0,1048.4,1220.65,-48.40000000000009,1172.25,-1.9283861792018686,-1.8533408378226257
2005-01-25,TCS,1214.8,1239.9,1207.1,1235.15,1235.45,558241.0,6827.62,1297.6225000000004,1211.174999999999,0.0,0.0,0.0,1.0,1048.4,1235.45,-48.40000000000009,1187.05,1.2625293239496571,1.2124687666407175
2005-01-27,TCS,1243.25,1253.8,1235.3,1239.15,1240.55,681918.0,8498.55,1294.1825000000003,1213.843124999999,0.0,0.0,0.0,1.0,1048.4,1240.55,-48.40000000000009,1192.1499999999999,0.42963649382923297,0.41280505079119845
2005-01-28,TCS,1242.85,1294.8,1242.5,1294.7,1289.2,1049227.0,13360.46,1292.6300000000006,1216.8618749999991,0.0,0.0,0.0,1.0,1048.4,1289.2,-48.40000000000009,1240.8,4.080862307595523,3.9216476562814906
2005-01-31,TCS,1298.0,1311.8,1290.25,1297.95,1300.4,731673.0,9543.47,1292.8175000000006,1219.660624999999,0.0,0.0,0.0,1.0,1048.4,1300.4,-48.40000000000009,1252.0,0.9026434558349505,0.8687558175612731
2005-02-01,TCS,1307.0,1320.0,1287.0,1316.0,1315.25,1002480.0,13112.17,1291.8075000000003,1222.592499999999,0.0,0.0,0.0,1.0,1048.4,1315.25,-48.40000000000009,1266.85,1.1861022364217266,1.1419563211319428
2005-02-02,TCS,1319.0,1323.45,1303.0,1306.1,1308.95,608807.0,8014.72,1289.5925000000004,1225.434374999999,0.0,0.0,0.0,1.0,1048.4,1308.95,-48.40000000000009,1260.55,-0.49729644393574635,-0.4789963885192927
